Event_code,Interest_area,Title,Description,Location,Start_time,End_time,Session_type,Tour_notes,Session_start,Active,Pre_selected
BW-011,Health sciences and allied health,Health sciences,"Get ready to tackle the biggest issues in health right now with our health sciences program. With 12 unique majors you can tailor your learning to align with your interests and passions - then choose up to three majors to diversify your learning and boost your employability. Our Bachelor of Health Sciences ensures you graduate ready to make a difference to the lives of others across health fields including community, population and government.","Bldg B, Room B1.77, LT 3",11:30 AM,12:30 PM,Course information session,,Morning,T,
BW-012,Nursing and midwifery,Nursing and midwifery,"Our nursing and midwifery courses are delivered by a school ranked in the top 1% in the world. Students graduate in demand, with the knowledge, skills and professionalism to work as a registered nurse and/or midwife. Our courses will prepare you to provide high-quality, patient-centred care in a range of areas including acute/sub-acute care, medical and surgical care, maternity care, aged care, rehabilitation, paediatrics, community nursing, and mental health nursing (QS World University Rankings by Subject 2018).","Bldg B, Room B1.77, LT 3",12:30 PM,1:30 PM,Course information session,,Afternoon,T,
BW-013,Psychology,Psychology,"Discover how our psychology courses expose you to the biological, developmental, social and cognitive factors that affect the way humans think, feel and behave. Start on the path to becoming a registered psychologist equipped to work in a range of psychology fields such as clinical, forensic, organisational, educational, health and more. Undergraduate psychology at Deakin leads the way among Victorian universities and is ranked by our students to be well above the national benchmark for education experience, learning resources and teaching quality (Quality Indicators for Learning and Teaching (QILT) 2018).","Bldg B, Room B1.77, LT 3",1:30 PM,2:30 PM,Course information session,,Afternoon,T,
BW-014,"Media, communication and creative arts",Deakin Motion.Lab showcase,"Experience our state-of-the-art motion capture facility, where live motion capture, live animation, live virtual reality and live facial capture come to life.","Bldg B, Room B1.81, Deakin Motion.Lab",10:30 AM,11:00 AM,Experience,,Morning,T,
BW-015,"Media, communication and creative arts",Deakin Motion.Lab showcase,"Experience our state-of-the-art motion capture facility, where live motion capture, live animation, live virtual reality and live facial capture come to life.","Bldg B, Room B1.81, Deakin Motion.Lab",11:30 AM,12:00 PM,Experience,,Morning,T,
BW-016,"Media, communication and creative arts",Deakin Motion.Lab showcase,"Experience our state-of-the-art motion capture facility, where live motion capture, live animation, live virtual reality and live facial capture come to life.","Bldg B, Room B1.81, Deakin Motion.Lab",1:00 PM,1:30 PM,Experience,,Afternoon,T,
BW-017,,Deakin Abroad,Drop by our office and have a chat to our friendly staff and past exchange students about all the different countries your Deakin degree can take you.,"Bldg B, Room B2.26, Deakin Abroad Office",9:00 AM,3:00 PM,Experience,,All day,T,Bachelor of Laws; Bachelor of Commerce
BW-018,Health sciences and allied health,Public health and health promotion,"Our public health and health promotion course gives you the skills to tackle big-picture population health problems and improve the health and wellbeing of individuals and communities around the world. Develop invaluable skills in program planning and evaluation, health education, community engagement and policy development and analysis. During the course, you can gain practical work experience in a health-related agency, ensuring you're job ready by the time you graduate.","Bldg B, Room B3.05, LT 4",10:00 AM,10:30 AM,Course information session,,Morning,T,
BW-019,,Life at Deakin,Thinking about studying at Deakin but not sure what to expect? Take a walk through our student experience from your offer to your first exam and find out what a typical day might look like for you.,"Bldg B, Room B3.05, LT 4",10:30 AM,11:00 AM,General information session,,Morning,T,Bachelor of Laws; Bachelor of Education (Primary)
BW-020,Education and teaching,Early years education,"Did you know our four-year early years education course is really a dual qualification? Find out how you can become qualified to teach in early childhood, as well as primary settings.","Bldg B, Room B3.05, LT 4",11:00 AM,11:30 AM,Course information session,,Morning,T,
BW-021,,Parents and caregivers guide to university,"Find out how to support your child transitioning from high school to University. Learn about the application process, selection and offers, support services for students and alternative pathways to study.","Bldg B, Room B3.05, LT 4",11:30 AM,12:00 PM,General information session,,Morning,T,
BW-022,Health sciences and allied health,Medical imaging,"Our medical imaging course offers the perfect mix of knowledge and clinical experience needed to launch your career as a registered diagnostic radiographer, with training in techniques like ultrasound, magnetic resonance imaging (MRI) and CT. Develop clinical skills under the supervision of experienced practitioners in a range of settings and graduate with the knowledge and skills to work as a highly competent and in demand professional across Australia, New Zealand, the UK and Canada.","Bldg B, Room B3.05, LT 4",12:00 PM,12:30 PM,Course information session,,Afternoon,T,
BW-023,Health sciences and allied health,Optometry,"Our 3.5-year accelerated optometry course is a specialised combined degree that focuses on detecting, managing and treating eye and vision disorders and supplying corrective solutions. You will learn about visual health issues and their impact on communities around the world. Our course leads to registration as an optometrist and provides graduates with the discipline-specific knowledge required to practise as an optometrist throughout Australia and New Zealand.","Bldg B, Room B3.05, LT 4",1:00 PM,1:30 PM,Course information session,,Afternoon,T,
BW-024,Education and teaching,Early years education,"Did you know our four-year early years education course is really a dual qualification? Find out how you can become qualified to teach in early childhood, as well as primary settings.","Bldg B, Room B3.05, LT 4",1:30 PM,2:00 PM,Course information session,,Afternoon,T,
BW-025,,Pathways to Deakin,"The traditional path from Year 12 to university isn't the only way to Deakin. Learn more about our alternate pathways to starting your dream degree at Deakin, either through courses at Deakin, with our partner Deakin College or our TAFE partners across Victoria.","Bldg B, Room B3.07, LT 5",10:00 AM,10:30 AM,General information session,,Morning,T,
BW-026,,Pathway to Deakin - Deakin College,"Diploma courses include business, commerce, communication, construction management, design, engineering, film, television and animation, health sciences, information technology and science - all pathways into second year at Deakin.","Bldg B, Room B3.07, LT 5",10:30 AM,11:00 AM,General information session,,Morning,T,
BW-027,,Returning to study as mature-age and non-Year 12 students,"Looking to return to study? This session provides a guide on choosing the right course for you and tips on how to navigate the application process. Learn how study can suit your lifestyle, with flexible delivery options to help juggle work and your life commitments.","Bldg B, Room B3.07, LT 5",11:30 AM,12:30 PM,General information session,,Morning,T,
BW-028,,Pathways to Deakin,"The traditional path from Year 12 to university isn't the only way to Deakin. Learn more about our alternate pathways to starting your dream degree at Deakin, either through courses at Deakin, with our partner Deakin College or our TAFE partners across Victoria.","Bldg B, Room B3.07, LT 5",12:30 PM,1:00 PM,General information session,,Afternoon,T,
BW-029,"Humanities, social sciences and languages",Geography and society,"An understanding of everything from how and why volcanos are formed to the impact of overcrowding in urban areas, geographers are integral to finding solutions to some of the biggest issues in the world. Find out more about studying geography at Deakin.","Bldg BC, Level 2, East 1",10:00 AM,10:30 AM,Course information session,,Morning,T,
BW-030,"Humanities, social sciences and languages",History,The insistence of the past in the present - history at Deakin. Join this information session to explore our stimulating and challenging history program.,"Bldg BC, Level 2, East 1",10:30 AM,11:00 AM,Course information session,,Morning,T,
BW-031,"Humanities, social sciences and languages",Philosophy and religious studies,"Philosophy for life, from world religions to Freud, ethics to political philosophy, Deakin's philosophy program challenges your thinking. Study religion and philosophy, myth and ritual, religion and popular culture, Buddhist studies, Islamic studies and more.","Bldg BC, Level 2, East 1",11:00 AM,11:30 AM,Course information session,,Morning,T,
BW-032,"Humanities, social sciences and languages",International studies and work-integrated learning,"International Studies is a unique course combining study, workplace skills development, travel and real-world experience. Learn about the course structure, available majors and international experience options. Hear Deakin students talk about their experiences on study exchange, internships and study tours.","Bldg BC, Level 2, East 1",11:30 AM,12:30 PM,Course information session,,Morning,T,
BW-033,"Humanities, social sciences and languages",Sociology,"Study the people around you. The rich, the poor, the strong, the weak, the powerful, the oppressed and all in between. Learn to change the way you see the world.","Bldg BC, Level 2, East 1",1:00 PM,1:30 PM,Course information session,,Afternoon,T,
BW-034,"Humanities, social sciences and languages","Languages - Indonesian, Arabic, Chinese and Spanish",Discover career-enhancing opportunities to engage internationally and study overseas. Consider where learning a language can take you.,"Bldg BC, Level 2, East 1",1:30 PM,2:00 PM,Course information session,,Afternoon,T,
BW-035,"Humanities, social sciences and languages",Anthropology,Want to learn more about the lives of people in different societies? Come and learn about what you'll learn through the study of anthropology and the different careers pathways available.,"Bldg BC, Level 2, East 2",10:30 AM,11:00 AM,Course information session,,Morning,T,
BW-036,"Humanities, social sciences and languages",Associate Degree of Arts,"Our Associate Degree of Arts provides a pathway to university study and guaranteed entry into Deakin's Bachelor of Arts or Bachelor of Criminology. You also have the option to transition into other Deakin undergraduate programs, with credit.","Bldg BC, Level 2, East 2",11:30 AM,12:00 PM,Course information session,,Morning,T,
BW-037,"Humanities, social sciences and languages",Postgraduate cultural heritage and museum studies,"Develop the knowledge, research skills and practical experience to make a difference in the cultural heritage sector. You may want to work with collections, manage a museum or heritage site, or protect and interpret significant sites. If you're a mid-career professional or looking for a unique career change, come along to learn more.","Bldg BC, Level 2, East 2",1:00 PM,1:30 PM,Course information session,,Afternoon,T,
BW-038,"Humanities, social sciences and languages",Criminology,"Criminology looks different in every field - come and learn how criminology looks in areas including policing, policy development, correctional services, intelligence, crime prevention and security services.","Bldg BC, Level 2, North 1-3",10:00 AM,10:30 AM,Course information session,,Morning,T,
BW-039,"Humanities, social sciences and languages",Criminology,"Criminology looks different in every field - come and learn how criminology looks in areas including policing, policy development, correctional services, intelligence, crime prevention and security services.","Bldg BC, Level 2, North 1-3",11:00 AM,11:30 AM,Course information session,,Morning,T,
BW-040,"Humanities, social sciences and languages; Media, communication and creative arts",Gender and sexuality studies,"Discover Deakin's major in gender and sexuality studies. Learn about the significance of sex, gender and sexuality in contemporary and historical cultures.","Bldg BC, Level 2, North 1-3",11:30 AM,12:00 PM,Course information session,,Morning,T,
BW-041,"Humanities, social sciences and languages; Media, communication and creative arts",Arts,Open up a world of career options by studying a Bachelor of Arts at Deakin. Learn how you can combine your interests and passions with our work integrated learning opportunities to prepare for your dream career.,"Bldg BC, Level 2, North 1-3",12:00 PM,12:30 PM,Course information session,,Afternoon,T,
BW-042,"Humanities, social sciences and languages","Politics and policy studies, international relations, Middle East studies","Find out about studying the exciting politics and policy studies, international relations and Middle East studies programs and the numerous employment opportunities for graduates.","Bldg BC, Level 2, North 1-3",12:30 PM,1:30 PM,Course information session,,Afternoon,T,
BW-043,"Humanities, social sciences and languages",Criminology,"Criminology looks different in every field - come and learn how criminology looks in areas including policing, policy development, correctional services, intelligence, crime prevention and security services.","Bldg BC, Level 2, North 1-3",2:00 PM,2:30 PM,Course information session,,Afternoon,T,
BW-044,Education and teaching,Teaching the arts in schools,Tour our arts and education facilities and get a glimpse into the amazing hands-on teaching and learning experiences enjoyed by our primary and secondary teaching students.,"Bldg E, Level 1",12:00 PM,2:00 PM,Tour,Every 15 mins from 12pm.,Afternoon,T,
BW-045,,Higher Degree by Research - Art and performance exhibition,Visit the Art Gallery and view an exhibition of current art and performance Higher Degree by Research candidates. The exhibition will include a special performance especially for Open Day alongside the work of some of Deakin's artistic researchers.,"Bldg FA, Deakin Art Gallery",9:00 AM,3:00 PM,Experience,,All day,T,
BW-046,"Humanities, social sciences and languages; Media, communication and creative arts",Arts,Open up a world of career options by studying a Bachelor of Arts at Deakin. Learn how you can combine your interests and passions with our work integrated learning opportunities to prepare for your dream career.,"Bldg HC, Room HC2.005, LT 13",9:30 AM,10:00 AM,Course information session,,Morning,T,
BW-047,Sport,Exercise and sport science,"Our exercise and sport science program is professionally accredited by Exercise and Sports Science Australia and explores the physical health, wellbeing and performance of elite athletes, individuals and teams through training, coaching, research and more. Deakin is the #1 ranked sport science school in Australia, and our course will put you on the path to becoming an elite sport scientist, ready to work with individual athletes and sporting teams (ShanghaiRanking's Global Ranking of Sport Science Schools and Departments 2018).","Bldg HC, Room HC2.005, LT 13",10:00 AM,10:30 AM,Course information session,,Morning,T,
BW-048,Law,Law,"Do you have a passion for law? Discover what it's like to study law at Deakin, one of the few degrees offered in Australia that is home to an innovative practising law clinic.","Bldg HC, Room HC2.005, LT 13",10:30 AM,11:00 AM,Course information session,,Morning,T,
BW-049,Sport,Sport management and sport development,"A world leader in tertiary sport courses, sport management provides industry-specific and business training, while sport development focuses on participation and the benefits of community sport.","Bldg HC, Room HC2.005, LT 13",11:30 AM,12:00 PM,Course information session,,Morning,T,
BW-050,Sport,Exercise and sport science,"Our exercise and sport science program is professionally accredited by Exercise and Sports Science Australia and explores the physical health, wellbeing and performance of elite athletes, individuals and teams through training, coaching, research and more. Deakin is the #1 ranked sport science school in Australia, and our course will put you on the path to becoming an elite sport scientist, ready to work with individual athletes and sporting teams (ShanghaiRanking's Global Ranking of Sport Science Schools and Departments 2018).","Bldg HC, Room HC2.005, LT 13",12:00 PM,12:30 PM,Course information session,,Afternoon,T,
BW-051,Law,Law,"Do you have a passion for law? Discover what it's like to study law at Deakin, one of the few degrees offered in Australia that is home to an innovative practising law clinic.","Bldg HC, Room HC2.005, LT 13",1:30 PM,2:00 PM,Course information session,,Afternoon,T,Bachelor of Laws
BW-052,Sport,Exercise and sport science,"Our exercise and sport science program is professionally accredited by Exercise and Sports Science Australia and explores the physical health, wellbeing and performance of elite athletes, individuals and teams through training, coaching, research and more. Deakin is the #1 ranked sport science school in Australia, and our course will put you on the path to becoming an elite sport scientist, ready to work with individual athletes and sporting teams (ShanghaiRanking's Global Ranking of Sport Science Schools and Departments 2018).","Bldg HC, Room HC2.005, LT 13",2:00 PM,2:30 PM,Course information session,,Afternoon,T,
BW-053,"Media, communication and creative arts",Third-year visual arts studio,Visit our specilaised visual art studio and take a glimpse at the amazing work of our third year and postgraduate visual arts students.,"Bldg HD, Room HD2.006, Richard Searby Room, Visual Arts Studio",9:00 AM,3:00 PM,Experience,,All day,T,
BW-054,,Building employability skills for the jobs of the future,"Learn about how Deakin collaborates with employers to prepare graduates for the jobs and skills of the future. Learn about our programs that enhance graduate employability, including work-integrated learning, international experiences and DeakinTALENT - voted the most popular careers service by the Australian Graduate Recruitment Industry Association. Have the opportunity to speak with staff and students about programs and services that enhance employability skills.","Bldg HD, Room HD3.008",10:30 AM,11:30 AM,General information session,,Morning,T,
BW-055,,Building employability skills for the jobs of the future,"Learn about how Deakin collaborates with employers to prepare graduates for the jobs and skills of the future. Learn about our programs that enhance graduate employability, including work-integrated learning, international experiences and DeakinTALENT - voted the most popular careers service by the Australian Graduate Recruitment Industry Association. Have the opportunity to speak with staff and students about programs and services that enhance employability skills.","Bldg HD, Room HD3.008",12:00 PM,1:00 PM,General information session,,Afternoon,T,
BW-056,,Discover Deakin,"Find out all about the study options, exciting opportunities and experiences awaiting you at Deakin. Learn how our students are prepared for future career opportunities, and get tips on how to make the most of your Open Day visit.","Bldg HD, Room HD3.009",9:30 AM,10:00 AM,General information session,,Morning,T,
BW-057,,Deakin Accelerate - VCE extension studies,"Complete two units of a first-year university subject during Year 12, either on campus or online. Find out more about the benefits of Deakin Accelerate and how this program will help you get a head start on your university studies.","Bldg HD, Room HD3.009",11:00 AM,11:30 AM,General information session,,Morning,T,
BW-058,Law,Witness examination,"Join us for a live witness examination in a mock court. Learn about the various kinds of examination and the different meanings behind 'Objection, your Honour' as the witness testifies.","Bldg HD, Room HD3.009",11:30 AM,12:00 PM,Experience,,Morning,T,
BW-059,,Discover Deakin,"Find out all about the study options, exciting opportunities and experiences awaiting you at Deakin. Learn how our students are prepared for future career opportunities, and get tips on how to make the most of your Open Day visit.","Bldg HD, Room HD3.009",1:00 PM,1:30 PM,General information session,,Afternoon,T,Bachelor of Commerce
BW-060,Law,Witness examination,"Join us for a live witness examination in a mock court. Learn about the various kinds of examination and the different meanings behind 'Objection, your Honour' as the witness testifies.","Bldg HD, Room HD3.009",2:30 PM,3:00 PM,Experience,,Afternoon,T,Bachelor of Laws
BW-061,,Empowering entrepreneurs at Deakin,"SPARK Deakin supports students in learning how to build a business or social enterprise, turning ideas into projects. Learn how with funding, support and mentorship, you'll be able to take your ideas into the world.","Bldg HE, Room HE3.002",10:00 AM,10:30 AM,General information session,,Morning,T,
BW-062,Sport,Deakin's Elite Athlete Program,Learn about Deakin's Elite Athlete Program and how Deakin can assist you with balancing your studies and sporting commitments. Hear from current students about how they utilise our program to help them succeed both on and off the field.,"Bldg HE, Room HE3.002",1:00 PM,1:30 PM,General information session,,Afternoon,T,
BW-063,,Study online at our Cloud Campus,"When you study online with the Cloud Campus, you are supported by outstanding digital resources and tools as well as having access to the full range of learning and support services offered by the University. Take classes, submit assessments and participate in discussions all via the cloud.","Bldg HE, Room HE3.002",1:30 PM,2:00 PM,General information session,,Afternoon,T,Bachelor of Information Technology
BW-064,,Mind Racer,Step into the Mind Racer arena for the ultimate test of brainpower. Battle your friends and future classmates in a race of mind over matter utilising the latest in brain-computer interface technology. Do you have what it takes to land first place? There's only one way to find out.,"Bldg HF, Level 2, Central Precinct",9:00 AM,3:00 PM,Experience,,All day,T,Bachelor of Laws; Bachelor of Information Technology; Bachelor of Education (Primary); Bachelor of Commerce
BW-065,,Deakin residences tours,Join in on one of our residence tours and discover the different types of accommodation available at our Melbourne Burwood Campus. Learn from the experts just what it's like to live near campus and how you can become part of our close-knit resident community.,"Bldg HF, Level 2, Central Precinct",9:00 AM,3:00 PM,General information session,Tours departing on demand.,All day,T,Bachelor of Information Technology; Bachelor of Education (Primary); Bachelor of Commerce
BW-066,,Campus tours,"Join one of our tours to discover more of the Burwood campus. Led by our Student Ambassadors who know all the ins and outs of Deakin, you'll get a feel for campus life while learning more about our study areas, state-of-the-art facilities, and how to make the best transition into university.","Bldg HF, Level 2, Central Precinct, Tour departure booth",9:30 AM,2:30 PM,Tour,Every 30 mins from 9.30am.,All day,T,Bachelor of Laws; Bachelor of Education (Primary)
BW-067,Sport,Exercise and sport science lab tour,"Be one of the first to tour our brand new Specialised Indoor Exercise and Sport Science Building, equipped with specialist facilities and equipment for biomechanics, motor learning and exercise prescription teaching. You'll see our climate chamber, 40m indoor running lanes, motion capture systems and more.","Bldg HF, Level 2, Central Precinct, Tour departure booth",9:30 AM,2:30 PM,Tour,Every 30 mins from 9.30am.,All day,T,
BW-068,"Food, nutrition and dietetics",Nutrition and dietetics lab tour,"Visit our food sensory labs at the Centre for Advanced Sensory Science (CASS). Participate in various food demonstrations, sample different freeze dried foods, marvel at surface bacterial swabs and learn about different manufacturing and packaging techniques.","Bldg HF, Level 2, Central Precinct, Tour departure booth",9:30 AM,2:30 PM,Tour,Every 30 mins from 9.30am.,All day,T,
BW-069,Psychology,Psychology lab tour,"Explore our clinical psychology labs and witness demonstrations of the application and monitoring of magnetic stimulation to a subject's brain, and the effects this has on their hand-motor region and brain wave electrograph.","Bldg HF, Level 2, Central Precinct, Tour departure booth",10:00 AM,2:30 PM,Tour,Every 30 mins from 10am.,All day,T,
BW-070,,Win with Deakin,"Enter your details to receive updates on exciting Deakin news, events and courses. Just for registering, you can spin to win instant prizes, including Deakin hoodies, beanies, bags and lollies. Find us on campus for your opportunity to walk away a winner!",Bldg I (outside),9:00 AM,3:00 PM,Experience,,All day,T,Bachelor of Laws; Bachelor of Information Technology; Bachelor of Education (Primary); Bachelor of Commerce
BW-071,Sport,Sport management and sport development,"A world leader in tertiary sport courses, sport management provides industry-specific and business training, while sport development focuses on participation and the benefits of community sport.","Bldg I, Room I2.02, LT 1",9:30 AM,10:00 AM,Course information session,,Morning,T,
BW-072,Sciences,Science,"Not just about lab work, science at Deakin provides practical hands-on learning experiences, including field trips, industry learning and the establishment of valuable networks. You can elect your specialisation and choose to study science with a degree in commerce, teaching, law or arts.","Bldg I, Room I2.02, LT 1",11:00 AM,11:30 AM,Course information session,,Morning,T,
BW-073,Sciences; Medicine,Biomedical science,"Discover how a degree in biomedical science can lead to a range of careers. Learn how you could find yourself in fields including biomedical research, genetic counselling, patent law, genetic engineering, hospital and laboratory science, veterinary science, and pharmaceutical/medical sales or, use this degree as a pathway to further studies in medicine.","Bldg I, Room I2.02, LT 1",11:30 AM,12:00 PM,Course information session,,Morning,T,
BW-074,Medicine,Medicine,"Our Doctor of Medicine places a strong emphasis on clinical skills development, teamwork and communication training, providing the best opportunities for medical training in metropolitan, regional and rural settings. Learn through problem-based seminars and practical classes before undergoing intensive clinical training within professional health services across Victoria.","Bldg I, Room I2.02, LT 1",12:00 PM,12:30 PM,Course information session,,Afternoon,T,
BW-075,"Food, nutrition and dietetics",Nutrition science and dietetics,"Our nutrition course explores the vital role of food and nutrition in human health and disease prevention. You'll be equipped to pursue a pathway into dietetics or work as a nutritional specialist in a range of sectors including the food industry, media and marketing, nutrition research and education, public health and population nutrition, and self-employment and consulting. If you're passionate about working in a clinical setting, find out how you can become an accredited, practising dietitian in just 18 months with our masters course.","Bldg I, Room I2.05, LT 2",9:30 AM,10:00 AM,Course information session,,Morning,T,
BW-076,Education and teaching,Secondary teaching in health and physical education,"Become a health and physical education secondary school teacher - a career choice that promotes being physically active and healthy. Find out about selection, course options, transition support and other career possibilities.","Bldg I, Room I2.05, LT 2",10:30 AM,11:00 AM,Course information session,,Morning,T,
BW-077,"Food, nutrition and dietetics",Nutrition science and dietetics,"Our nutrition course explores the vital role of food and nutrition in human health and disease prevention. You'll be equipped to pursue a pathway into dietetics or work as a nutritional specialist in a range of sectors including the food industry, media and marketing, nutrition research and education, public health and population nutrition, and self-employment and consulting. If you're passionate about working in a clinical setting, find out how you can become an accredited, practising dietitian in just 18 months with our masters course.","Bldg I, Room I2.05, LT 2",11:00 AM,11:30 AM,Course information session,,Morning,T,
BW-078,Health sciences and allied health,Occupational therapy,"Study occupational therapy and gain the specialised knowledge to improve clients' lives every day, as well as the skills to promote good health and wellbeing at home, at work and in the community. Taught in our new state-of-the-art simulated teaching labs, you'll have access to hands-on assistive technologies in the classroom, in addition to more than 1000 hours of hands-on experience through practical placements.","Bldg I, Room I2.05, LT 2",11:30 AM,12:00 PM,Course information session,,Morning,T,
BW-079,"Food, nutrition and dietetics",Nutrition science and dietetics,"Our nutrition course explores the vital role of food and nutrition in human health and disease prevention. You'll be equipped to pursue a pathway into dietetics or work as a nutritional specialist in a range of sectors including the food industry, media and marketing, nutrition research and education, public health and population nutrition, and self-employment and consulting. If you're passionate about working in a clinical setting, find out how you can become an accredited, practising dietitian in just 18 months with our masters course.","Bldg I, Room I2.05, LT 2",1:00 PM,1:30 PM,Course information session,,Afternoon,T,
BW-080,Education and teaching,Associate Degree of Education,"Our Associate Degree of Education introduces you to university study and provides guaranteed entry into our Bachelor of Education (Primary) degree, with credit.","Bldg I, Room I2.05, LT 2",1:30 PM,2:00 PM,Course information session,,Afternoon,T,
BW-081,Education and teaching,Primary teaching,"Discover the rewards of studying a primary teaching degree. Hear from our friendly staff and learn more about selection, course information and career options.","Bldg I, Room I2.05, LT 2",2:00 PM,2:30 PM,Course information session,,Afternoon,T,
BW-082,Environment,Wildlife conservation and environmental sustainability,"Discover what it's like to study environmental management and wildlife conservation at Deakin. While environmental management focuses on finding sustainable solutions to the world's most pressing environmental problems, wildlife and conservation biology offers theoretical and practical experience in areas including wildlife ecology and biodiversity and conservation.","Bldg I, Room I2.07, LT 1A",10:30 AM,11:00 AM,Course information session,,Morning,T,
BW-083,Education and teaching,"Secondary teaching in the arts, sciences and maths","Find out about the different pathways you can take towards your career as a secondary teacher. Specialise in fields including english, humanities, languages and social sciences, biology, chemistry, geography, environmental science and mathematics. Learn about selection, course information and career options.","Bldg I, Room I2.07, LT 1A",11:00 AM,11:30 AM,Course information session,,Morning,T,
BW-084,Education and teaching,Primary teaching,"Discover the rewards of studying a primary teaching degree. Hear from our friendly staff and learn more about selection, course information and career options.","Bldg I, Room I2.07, LT 1A",11:30 AM,12:00 PM,Course information session,,Morning,T,Bachelor of Education (Primary)
BW-085,Engineering,Engineering,"Explore engineering careers in computer modelling, virtual reality environments, 3D printing and world-leading rapid prototyping capabilities. Learn how studying at Deakin will ensure you gain the practical experience and the knowledge and skills employers are looking for.","Bldg I, Room I2.07, LT 1A",12:30 PM,1:00 PM,Course information session,,Afternoon,T,
BW-086,Engineering,Engineering student Q&A panel,Have a question about engineering you'd rather ask a current student? Come along to our student-led Q&A panel.,"Bldg I, Room I2.07, LT 1A",1:00 PM,1:30 PM,Course information session,,Afternoon,T,
BW-087,Education and teaching,Secondary teaching in health and physical education,"Become a health and physical education secondary school teacher - a career choice that promotes being physically active and healthy. Find out more on selection, course options, transition support and other career possibilities.","Bldg I, Room I2.07, LT 1A",1:30 PM,2:00 PM,Course information session,,Afternoon,T,
BW-088,Health sciences and allied health,Health sciences,"Get ready to tackle the biggest issues in health right now with our health sciences program. With 12 unique majors you can tailor your learning to align with your interests and passions - then choose up to three majors to diversify your learning and boost your employability. Our Bachelor of Health Sciences ensures you graduate ready to make a difference to the lives of others across health fields including community, population and government.","Bldg I, Room I2.07, LT 1A",2:00 PM,3:00 PM,Course information session,,Afternoon,T,
BW-089,Sciences,Centre for Cellular and Molecular Biology (CCMB) tour,"CCMB conducts research involving cellular and molecular biology. Tour the laboratories, talk to research students and see a demonstration using a confocal microscope, cell culture facilities and research equipment.","Bldg L, Level 1",12:30 PM,2:30 PM,Tour,Every 30 mins from 12.30pm.,Afternoon,T,
